SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-MSS019528,WatchGuard MSSP 500 Pre Pay Points,Electronic,MSSP,MSSP Points,https://partner.leadersystems.com.au/products.html?pe90BB5+xKg=fzULulDkLYczr9TUTV5MWQ==UEgv1Qg/dfDpmQSrMaoT6xgzof0G
NWG-WGCSM331,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Small,Electronic,Cloud,Firebox Cloud Small,https://partner.leadersystems.com.au/products.html?H/SipDzqNyg=/Dw6D8BMgsYyvWegmwy+Xg==AeZifgQGCxcY9hPFneKVHEYEgM4=
NWG-WGCSM203,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Small,Electronic,Cloud,Firebox Cloud Small,https://partner.leadersystems.com.au/products.html?bNTbyRWJqS0=tsVaawg7eVp6TMX4IH04zw==ln5NgDJh9ZZc7jdyTd61DywJYHQ=
NWG-WGCME351,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Medium,Electronic,Cloud,Firebox Cloud Medium,https://partner.leadersystems.com.au/products.html?TZWKtMdLe2M=kDoIUgFe0ymrJYvK4Gt/BQ==1N2kf7/YXh4PUpvRM4NPHN6h4Hg=
NWG-WGCME203,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Medium,Electronic,Cloud,Firebox Cloud Medium,https://partner.leadersystems.com.au/products.html?7uQHXm+s6CY=jZ8oaWpYHaghRaWp4IZG9g==30OsL/1xi7deWEhaEyhBA0OTlAM=
NWG-WGCME201,WatchGuard Standard Support Renewal 1-yr for Firebox Cloud Medium,Electronic,Cloud,Firebox Cloud Medium,https://partner.leadersystems.com.au/products.html?3QFasAjA72E=48NkxgCeL8O2GxFawuhUFA==zSLXpQofxS6ghGGuvZieAB9TTA4=
NWG-WGCLG351,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Large,Electronic,Cloud,Firebox Cloud Large,https://partner.leadersystems.com.au/products.html?unFoic3l/Zw=fjC4wfnvnFmJ1vDtKnkr7g==K1vo6iFdoXQmyIAL3vMYbV5+HCo=
NWG-WGCLG333,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox Cloud Large,Electronic,Cloud,Firebox Cloud Large,https://partner.leadersystems.com.au/products.html?NeQh5YoV8Yw=MzbAPWc9SzadGP/LOSTiQw==RFtp7EMWkN4PsUgbqW/yyf0TLeM=
NWG-WGCXL333,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox Cloud XLarge,Electronic,Cloud,Firebox Cloud XLarge,https://partner.leadersystems.com.au/products.html?aIsLwHJDxsc=Ts28XfGqqs7zHqMpb8Sxpg==UCnu7jAy2e/dgZ/3Y8lcfpZ+7E0=
NWG-WGCXL331,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox Cloud XLarge,Electronic,Cloud,Firebox Cloud XLarge,https://partner.leadersystems.com.au/products.html?pn/jvWbb4ME=xaG7ofJlmfMtcFVueNC79Q==dVpqHog1D8RjpPg9Wfhh5CKfKUQ=
