STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-MSS019528,Subscriptions  Licensing,WatchGuard MSSP 500 Pre Pay Points,https://www.leadersystems.com.au/Images/NWG-MSS019528.jpg,Watchguard,MSS019528,622,786
NWG-WG460301,Subscriptions  Licensing,WatchGuard NGFW Suite Renewal/Upgrade 1-yr for Firebox M4600,https://www.leadersystems.com.au/Images/NWG-WG460301.jpg,Watchguard,WG460301,7389,9374
NWG-WG460351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox M4600,https://www.leadersystems.com.au/Images/NWG-WG460351.jpg,Watchguard,WG460351,21720,27555
NWG-WGCSM331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM331.jpg,Watchguard,WGCSM331,936,1167
NWG-WGCSM203,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM203.jpg,Watchguard,WGCSM203,710,885
NWG-WGCME351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME351.jpg,Watchguard,WGCME351,4633,5772
NWG-WGCME203,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME203.jpg,Watchguard,WGCME203,1673,2084
NWG-WGCME201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME201.jpg,Watchguard,WGCME201,719,896
NWG-WGCLG351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG351.jpg,Watchguard,WGCLG351,9872,12525
NWG-WGCLG333,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG333.jpg,Watchguard,WGCLG333,10838,13750
